Genome,vOTU ID,ClusterStatus,VCStatus,contig_length,provirus,proviral_length,gene_count,viral_genes,host_genes,checkv_quality,miuvig_quality,completeness,completeness_method,contamination,kmer_freq,warnings,clstr,clstr_size,length,clstr_rep,clstr_iden,clstr_cov,Phylum,Class,Order,Family,Genus,ICTV_Phylum,ICTV_Class,ICTV_Order,ICTV_Family,ICTV_Genus,SampleID,SampleName,Cyanobacterial Order,Cyanobacterial Family,Cyanobacterial Genus,Cyanobacterial Speices,Strain,BioProject,SRA Accession No.,JGI IMGD No.,Reported Habitat,Habitat,Substrate,Location
TC7_NODE_663_length_6865_cov_1.287326,vOTU115,Clustered,1010_0,6865,No,NA,11,3,0,Low-quality,Genome-fragment,17.01,AAI-based (medium-confidence),0,1,NA,144,3,6865,0,100.00%,17%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC7,Brasilonema octagenarum HA4186-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,HA4186-MV1,PRJNA621669,SRR11678155,3300035014,On wood in tropics,Tropics,wood,"Hawaii, USA"
TC25_k99_8994_fragment_1,vOTU374,Clustered,191_0,41412,Yes,38568,58,21,2,Medium-quality,Genome-fragment,75.06,AAI-based (medium-confidence),6.87,1,NA,164,2,38568,0,100.00%,99%,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC7_NODE_2_length_1407101_cov_253.573458_fragment_10,vOTU651,Unclustered,Unclustered,10378,Yes,6092,8,1,1,Low-quality,Genome-fragment,13.1,AAI-based (medium-confidence),41.3,1,NA,680,1,6092,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC7,Brasilonema octagenarum HA4186-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,HA4186-MV1,PRJNA621669,SRR11678155,3300035014,On wood in tropics,Tropics,wood,"Hawaii, USA"
TC7_NODE_2_length_1407101_cov_253.573458_fragment_6,vOTU653,Unclustered,Unclustered,11468,No,NA,12,1,2,Low-quality,Genome-fragment,7.41,HMM-based (lower-bound),0,1,NA,539,1,11468,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC7,Brasilonema octagenarum HA4186-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,HA4186-MV1,PRJNA621669,SRR11678155,3300035014,On wood in tropics,Tropics,wood,"Hawaii, USA"
TC7_NODE_2_length_1407101_cov_253.573458_fragment_16,vOTU652,Unclustered,Unclustered,62074,Yes,49960,83,12,9,Medium-quality,Genome-fragment,67.99,HMM-based (lower-bound),19.52,1,NA,65,1,49960,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC7,Brasilonema octagenarum HA4186-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,HA4186-MV1,PRJNA621669,SRR11678155,3300035014,On wood in tropics,Tropics,wood,"Hawaii, USA"
TC48_NODE_4_length_1260246_cov_92.341503_fragment_13,vOTU612,Clustered,973_0,48698,No,NA,85,24,0,High-quality,High-quality,100,AAI-based (high-confidence),0,1,NA,68,1,48698,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC48,Tolypothrix carrinoi HA7290-LM1,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix carrinoi,HA7290-LM1,PRJNA621663,SRR11678124,3300035008,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC25_k99_2767_fragment_1,vOTU369,Clustered,930_0,13539,No,NA,17,2,2,Low-quality,Genome-fragment,15.12,HMM-based (lower-bound),0,1,NA,211,2,13539,0,100.00%,39%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC21_NODE_44_length_237384_cov_5.080967_fragment_4,vOTU256,Unclustered,Unclustered,33015,No,NA,47,22,0,High-quality,High-quality,91.65,AAI-based (medium-confidence),0,1,NA,218,1,33015,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC21_NODE_44_length_237384_cov_5.080967_fragment_2,vOTU255,Unclustered,Unclustered,42801,No,NA,48,11,3,High-quality,High-quality,90.97,AAI-based (medium-confidence),0,1.01,NA,108,1,42801,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC42_NODE_666_length_14858_cov_1.589437,vOTU535,Unclustered,Unclustered,14858,No,NA,21,3,0,Low-quality,Genome-fragment,34.2,HMM-based (lower-bound),0,1,NA,451,1,14858,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC42,Stenomitos rutilans HA7619-LM2,Pseudanabaenales,Leptolyngbyaceae,Stenomitos,Stenomitos rutilans,HA7619-LM2,PRJNA617107,SRR12350322,3300036446,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC3_NODE_4_length_355048_cov_7.697313_fragment_1,vOTU721,Clustered,18_0,26634,Yes,18469,33,6,3,High-quality,High-quality,100,AAI-based (medium-confidence),30.66,1.48,contig >1.5x longer than expected genome length,365,2,18469,1,100,100%,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC3,Aphanocapsa sp. GSE-SYN-MK-11-07L,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa sp.,GSE-SYN-MK-11-07L,PRJNA621664,SRR11678123,3300035009,Desert wet wall,Desert,rock wall,"Utah, USA"
TC3_NODE_4_length_355048_cov_7.697313_fragment_2,vOTU393,Unclustered,Unclustered,22070,No,NA,15,1,1,Low-quality,Genome-fragment,10.18,HMM-based (lower-bound),0,1,NA,315,1,22070,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC3,Aphanocapsa sp. GSE-SYN-MK-11-07L,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa sp.,GSE-SYN-MK-11-07L,PRJNA621664,SRR11678123,3300035009,Desert wet wall,Desert,rock wall,"Utah, USA"
