contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
TC7_NODE_663_length_6865_cov_1.287326	6865	No	NA	11	3	0	Low-quality	Genome-fragment	17.01	AAI-based (medium-confidence)	0.0	1.0	
TC25_k99_8994_fragment_1	41412	Yes	38568	58	21	2	Medium-quality	Genome-fragment	75.06	AAI-based (medium-confidence)	6.87	1.0	
TC7_NODE_2_length_1407101_cov_253.573458_fragment_10	10378	Yes	6092	8	1	1	Low-quality	Genome-fragment	13.1	AAI-based (medium-confidence)	41.3	1.0	
TC7_NODE_2_length_1407101_cov_253.573458_fragment_6	11468	No	NA	12	1	2	Low-quality	Genome-fragment	7.41	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_2_length_1407101_cov_253.573458_fragment_16	62074	Yes	49960	83	12	9	Medium-quality	Genome-fragment	67.99	HMM-based (lower-bound)	19.52	1.0	
TC48_NODE_4_length_1260246_cov_92.341503_fragment_13	48698	No	NA	85	24	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
TC25_k99_2767_fragment_1	13539	No	NA	17	2	2	Low-quality	Genome-fragment	15.12	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_44_length_237384_cov_5.080967_fragment_4	33015	No	NA	47	22	0	High-quality	High-quality	91.65	AAI-based (medium-confidence)	0.0	1.0	
TC21_NODE_44_length_237384_cov_5.080967_fragment_2	42801	No	NA	48	11	3	High-quality	High-quality	90.97	AAI-based (medium-confidence)	0.0	1.01	
TC42_NODE_666_length_14858_cov_1.589437	14858	No	NA	21	3	0	Low-quality	Genome-fragment	34.2	HMM-based (lower-bound)	0.0	1.0	
TC3_NODE_4_length_355048_cov_7.697313_fragment_1	26634	Yes	18469	33	6	3	High-quality	High-quality	100.0	AAI-based (medium-confidence)	30.66	1.48	contig >1.5x longer than expected genome length
TC3_NODE_4_length_355048_cov_7.697313_fragment_2	22070	No	NA	15	1	1	Low-quality	Genome-fragment	10.18	HMM-based (lower-bound)	0.0	1.0	
TC32_NODE_480_length_7001_cov_6.847105	7001	No	NA	8	1	0	Low-quality	Genome-fragment	6.56	HMM-based (lower-bound)	0.0	1.0	low-confidence ITR
TC18_NODE_16_length_258475_cov_12.977008_fragment_1	28753	No	NA	49	8	0	Low-quality	Genome-fragment	42.75	HMM-based (lower-bound)	0.0	1.0	
TC42_NODE_104_length_128199_cov_1.574583_fragment_3	8018	No	NA	9	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC44_NODE_149_length_94989_cov_2.906380_fragment_1	37178	Yes	24050	39	8	7	Medium-quality	Genome-fragment	57.58	AAI-based (medium-confidence)	35.31	1.0	low-confidence Provirus
TC42_NODE_11_length_1360783_cov_3.952205_fragment_16	25289	Yes	9720	27	4	6	Low-quality	Genome-fragment	21.62	HMM-based (lower-bound)	61.56	1.0	
TC42_NODE_11_length_1360783_cov_3.952205_fragment_14	19484	No	NA	12	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC20_NODE_15_length_700655_cov_223.695464_fragment_10	42304	No	NA	60	17	1	Medium-quality	Genome-fragment	88.35	HMM-based (lower-bound)	0.0	1.0	
TC32_NODE_249_length_59089_cov_1.993742_fragment_1	36362	No	NA	47	21	0	Low-quality	Genome-fragment	48.4	HMM-based (lower-bound)	0.0	1.0	
TC42_NODE_907_length_9920_cov_65.905238	9920	No	NA	6	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC21_NODE_13_length_470221_cov_3.044736_fragment_2	42160	Yes	40650	56	23	3	High-quality	High-quality	100.0	AAI-based (medium-confidence)	3.58	1.0	
TC24_NODE_690_length_9010_cov_1.186874	9010	No	NA	9	5	0	Low-quality	Genome-fragment	5.88	HMM-based (lower-bound)	0.0	1.0	
